SMILES,SMILES_rdkit_final,logP,fu_in_vitro,REF_logP,REF_Fup
NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,2.47,0.4,DRUGBANK,Watanabe
NC(=O)c1cccn2cc(-c3cccc(-c4cncc(OCCF)c4)c3)nc12,NC(=O)c1cccn2cc(-c3cccc(-c4cncc(OCCF)c4)c3)nc12,3.51,0.01,CHEMBL,CHEMBL
NC(=O)c1ccn(-c2ccc(NCC3(c4ncccc4F)CCC3)nn2)c1,NC(=O)c1ccn(-c2ccc(NCC3(c4ncccc4F)CCC3)nn2)c1,2.43,0.61,CHEMBL,CHEMBL
NC(=O)c1ccn(-c2cnc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nc2)c1,NC(=O)c1ccn(-c2cnc(NCC3(c4ncccc4F)CC(F)C3)nc2)c1,2.38,0.49,CHEMBL,CHEMBL
NC(=O)c1ccn(-c2cnc(NCC3(c4ncccc4F)CCC3)nc2)c1,NC(=O)c1ccn(-c2cnc(NCC3(c4ncccc4F)CCC3)nc2)c1,2.43,0.51,CHEMBL,CHEMBL
NC(=O)c1cn(CC(=O)N2[C@H](C(=O)Nc3cccc(Br)n3)C[C@H]3C[C@H]32)c2ccccc12,NC(=O)c1cn(CC(=O)N2C(C(=O)Nc3cccc(Br)n3)CC3CC32)c2ccccc12,2.53,0.131,CHEMBL,CHEMBL
NC(=O)c1cnc(-c2ccc(C3(N)CCC3)cc2)c(-c2ccccc2)c1,NC(=O)c1cnc(-c2ccc(C3(N)CCC3)cc2)c(-c2ccccc2)c1,3.85,,CHEMBL,
NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,NC(=O)c1cnc(NC2CCCCC2N)nc1Nc1cccc(-n2nccn2)c1,1.58,0.014,CHEMBL,CHEMBL
NC(=O)c1cnc2c(N[C@H]3C[C@H]3F)cc(Nc3cccc(-c4ccc(C(F)(F)F)cc4F)c3)nn12,NC(=O)c1cnc2c(NC3CC3F)cc(Nc3cccc(-c4ccc(C(F)(F)F)cc4F)c3)nn12,4.92,0.004,CHEMBL,CHEMBL
NC(=O)c1cncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)n1,NC(=O)c1cncc(-c2ccc(C3CCC(CC(=O)O)CC3)cc2)n1,2.99,0.035,CHEMBL,CHEMBL
NC(=O)c1cncc(-c2ccc([C@H]3CC[C@H](CCO)CC3)cc2)n1,NC(=O)c1cncc(-c2ccc(C3CCC(CCO)CC3)cc2)n1,2.9,0.028,CHEMBL,CHEMBL
NC(=O)C1=NC=CN=C1,NC(=O)c1cnccn1,-0.6,0.9,HTTK,
NC(=O)c1cnn(-c2ccc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nn2)c1,NC(=O)c1cnn(-c2ccc(NCC3(c4ncccc4F)CC(F)C3)nn2)c1,1.78,0.36,CHEMBL,CHEMBL
NC(=O)c1cnn(-c2ccc(NCC3(c4ncccc4F)CCC3)nn2)c1,NC(=O)c1cnn(-c2ccc(NCC3(c4ncccc4F)CCC3)nn2)c1,1.83,0.55,CHEMBL,CHEMBL
NC(=O)c1cnn(-c2cnc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nc2)c1,NC(=O)c1cnn(-c2cnc(NCC3(c4ncccc4F)CC(F)C3)nc2)c1,1.78,0.85,CHEMBL,CHEMBL
NC(=O)c1ncc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,NC(=O)c1ncc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,0.97,0.04,CHEMBL,CHEMBL
NC(=O)c1nn(CC(=O)N2[C@H](C(=O)Nc3cccc(Br)n3)C[C@H]3C[C@H]32)c2ccccc12,NC(=O)c1nn(CC(=O)N2C(C(=O)Nc3cccc(Br)n3)CC3CC32)c2ccccc12,1.92,0.08,CHEMBL,CHEMBL
NC(=O)Cc1ccc(-c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)c(Cl)c1,NC(=O)Cc1ccc(-c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)c(Cl)c1,2.45,0.172,CHEMBL,CHEMBL
NC(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,NC(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,2.06,0.9962,CHEMBL,CHEMBL
NC(=O)CN1CCCC1=O,NC(=O)CN1CCCC1=O,-1.54,1,HTTK,
NC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cc(F)ccc3n(CCC3CC3)c1=O)N2,NC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cc(F)ccc3n(CCC3CC3)c1=O)N2,2.07,0.001,CHEMBL,CHEMBL
NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2,NC(=O)N1c2ccccc2C=Cc2ccccc21,2.45,0.5141,HTTK,HTTK
NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,2.17,0.6,HTTK,
NC(=O)n1cc(NC(=O)N2[C@H](C(=O)Nc3cccc(Br)n3)C[C@H]3C[C@H]32)c2ccccc21,NC(=O)n1cc(NC(=O)N2C(C(=O)Nc3cccc(Br)n3)CC3CC32)c2ccccc21,3.36,0.036,CHEMBL,CHEMBL
NC(=O)n1cc(NC(=O)N2[C@H](C(=O)Nc3cccc(C(F)(F)F)n3)C[C@H]3C[C@H]32)c2ccccc21,NC(=O)n1cc(NC(=O)N2C(C(=O)Nc3cccc(C(F)(F)F)n3)CC3CC32)c2ccccc21,3.62,0.048,CHEMBL,CHEMBL
NC(=O)Nc1sc(-c2ccccc2)cc1C(=O)N[C@H]1CCCNC1,NC(=O)Nc1sc(-c2ccccc2)cc1C(=O)NC1CCCNC1,2.39,0.077,CHEMBL,CHEMBL
NC(=O)NO,NC(=O)NO,-1.8,1.05E-05,HTTK,HTTK
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,NC(=O)OCC(COC(N)=O)c1ccccc1,0.85,0.72,HTTK,
N[C@H](C(=O)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1cc(F)cc(F)c1)C2)c1ccc(O)cc1,NC(C(=O)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1cc(F)cc(F)c1)C2)c1ccc(O)cc1,3.89,0.025,CHEMBL,CHEMBL
N[C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1OCC(=O)NC1CC1)C1CCCCC1,NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OCC(=O)NC1CC1)C1CCCCC1,2.51,0.12,CHEMBL,CHEMBL
Clc1ccc(c(c1)CN=C([C@@H]1CCCN1C(=O)[C@@H](C1CCCCC1)N)O)OCC(=NC1CC1)O,NC(C(=O)N1CCCC1C(O)=NCc1cc(Cl)ccc1OCC(O)=NC1CC1)C1CCCCC1,,0.12,,Watanabe
NC(C(=O)NC1C2SCC(CSC3=CNN=N3)=C(N2C1=O)C(O)=O)C1=CC=C(O)C=C1,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CSC12)c1ccc(O)cc1,-0.27,0.4,HTTK,HTTK
N[C@H](Cc1cc(F)c(cc1F)F)CC(=O)N1CCN(CC1)C(=O)c1ccccn1,NC(CC(=O)N1CCN(C(=O)c2ccccn2)CC1)Cc1cc(F)c(F)cc1F,,0.497,,Watanabe
N[C@@H](CC(=O)O)Cn1nnc(-c2ccc(Oc3ncc(Cl)cc3F)cc2)n1,NC(CC(=O)O)Cn1nnc(-c2ccc(Oc3ncc(Cl)cc3F)cc2)n1,2.12,0.921,CHEMBL,CHEMBL
NC(CC1=CC(O)=C(O)C=C1)C(O)=O,NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.39,0.76,HTTK,HTTK
N/C(CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21)=N\O,NC(CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21)=NO,2.32,0.994,CHEMBL,CHEMBL
N[C@@H](Cn1c(=O)cnc2ccc(F)cc21)[C@H]1CC[C@H](NCc2ccc3c(n2)NC(=O)CO3)CC1,NC(Cn1c(=O)cnc2ccc(F)cc21)C1CCC(NCc2ccc3c(n2)NC(=O)CO3)CC1,1.94,0.7,CHEMBL,CHEMBL
N[C@@H](Cn1c(=O)cnc2ccc(F)cc21)[C@H]1CC[C@H](NCc2ncc3c(n2)NC(=O)CO3)CC1,NC(Cn1c(=O)cnc2ccc(F)cc21)C1CCC(NCc2ncc3c(n2)NC(=O)CO3)CC1,1.33,0.73,CHEMBL,CHEMBL
NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OC3CC3)c(Cl)cc21,NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OC3CC3)c(Cl)cc21,2.26,0.031,CHEMBL,CHEMBL
NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OCC3CC3)c(Cl)cc21,NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OCC3CC3)c(Cl)cc21,2.51,0.04,CHEMBL,CHEMBL
NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OCC3CCC3)c(Cl)cc21,NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OCC3CCC3)c(Cl)cc21,2.9,0.019,CHEMBL,CHEMBL
NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OCc3ccccn3)c(Cl)cc21,NC(CO)(CO)CO.O=C(O)CCn1c(=O)oc2cc(OCc3ccccn3)c(Cl)cc21,2.7,0.074,CHEMBL,CHEMBL
NC(N)=NC(=O)C1=C(C2CC2)N(N=C1)C1=C2C=CC=NC2=CC=C1,NC(N)=NC(=O)c1cnn(-c2cccc3ncccc23)c1C1CC1,1.85,0.34,HTTK,HTTK
NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,-0.64,0.84,HTTK,HTTK
NC(N)=Nc1nccc2c(Cl)cc(-c3cccc(C(=O)O)c3)cc12,NC(N)=Nc1nccc2c(Cl)cc(-c3cccc(C(=O)O)c3)cc12,3.16,0.002,CHEMBL,CHEMBL
NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,2.23,0.22,CHEMBL,CHEMBL
C1CC(C1)(C2=CC=C(C=C2)C3=NC4=CC=CC=C4C=C3C5=CC=CC=C5)N,NC1(c2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CCC1,5.91,,CHEMBL,
C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C=CC=CC4=N3)C5=CC=CC=C5)N,NC1(c2ccc(-c3nc4ccccn4c3-c3ccccc3)cc2)CCC1,5.01,,CHEMBL,
NC1(c2ccc(-c3ncc4cnccc4c3-c3ccccc3)cc2)CCC1,NC1(c2ccc(-c3ncc4cnccc4c3-c3ccccc3)cc2)CCC1,5.3,,CHEMBL,
NC1(c2ccc(-c3ncc4nccn4c3-c3ccccc3)cc2)CCC1,NC1(c2ccc(-c3ncc4nccn4c3-c3ccccc3)cc2)CCC1,4.4,,CHEMBL,
C1CC(C1)(C2=CC=C(C=C2)C3=NN4C=CN=C4C=C3C5=CC=CC=C5)N,NC1(c2ccc(-c3nn4ccnc4cc3-c3ccccc3)cc2)CCC1,4.4,,CHEMBL,
C1=CC(=C(C=C1Cl)C2=C(NN=C2)N)OC3=CC(=C(C=C3Cl)S(=O)(=O)NC4=CSC=N4)F,Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,5.15,0.0007575,CHEMBL,CHEMBL
NC1=NC(=O)N=CC1F,NC1=NC(=O)N=CC1F,-1,1,HTTK,HTTK
NC1=NS(=O)(=O)c2ccccc21,NC1=NS(=O)(=O)c2ccccc21,0.09,0.48,CHEMBL,CHEMBL
NC12CC3CC(CC(C3)C1)C2,NC12CC3CC(CC(C3)C1)C2,2.44,0.33,HTTK,HTTK
Nc1c(C(=O)c2ccncc2)sc2nc(O)c3c(c12)CCCC3,Nc1c(C(=O)c2ccncc2)sc2nc(O)c3c(c12)CCCC3,3.09,0.005,CHEMBL,CHEMBL
Nc1c(C(=O)c2ccncc2)sc2nc(OCc3ccncc3)c3c(c12)CCC3,Nc1c(C(=O)c2ccncc2)sc2nc(OCc3ccncc3)c3c(c12)CCC3,3.97,0.005,CHEMBL,CHEMBL
Nc1c(C(=O)c2ccncc2)sc2nc(OCCN3CCOCC3)c3c(c12)CCC3,Nc1c(C(=O)c2ccncc2)sc2nc(OCCN3CCOCC3)c3c(c12)CCC3,2.7,0.005,CHEMBL,CHEMBL
Nc1c(C(=O)NCC(O)(CN(CCF)C(=O)c2c(F)cccc2F)C(F)(F)F)cnn1-c1ccc(F)cc1,Nc1c(C(=O)NCC(O)(CN(CCF)C(=O)c2c(F)cccc2F)C(F)(F)F)cnn1-c1ccc(F)cc1,3.01,0.07,CHEMBL,CHEMBL
Nc1c(C(=O)NCC(O)(CN(CCO)C(=O)c2c(Cl)cccc2Cl)C(F)(F)F)cnn1-c1ccc(F)cc1,Nc1c(C(=O)NCC(O)(CN(CCO)C(=O)c2c(Cl)cccc2Cl)C(F)(F)F)cnn1-c1ccc(F)cc1,3.06,0.07,CHEMBL,CHEMBL
NC1C(CCC(OC(=O)N2CCC(CC2)N2C(=O)NC3=NC=CC=C23)C2=C1C=CC=N2)C1=C(F)C(F)=CC=C1,NC1c2cccnc2C(OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CCC1c1cccc(F)c1F,3.73,0.014,HTTK,
Nc1cc(-c2cc3c4c(n[nH]c4c2)Nc2ccccc2O3)nc(N)n1,Nc1cc(-c2cc3c4c(n[nH]c4c2)Nc2ccccc2O3)nc(N)n1,3.03,0.03,CHEMBL,CHEMBL
Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1,Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1,3.93,0.1,CHEMBL,CHEMBL
Nc1cc(Cc2ccccc2)c2nn[nH]c2n1,Nc1cc(Cc2ccccc2)c2nn[nH]c2n1,1.53,0.17,CHEMBL,CHEMBL
Nc1cc(Cc2ccn(Cc3ccc4c(c3)CCNC4)n2)c2nn[nH]c2n1,Nc1cc(Cc2ccn(Cc3ccc4c(c3)CCNC4)n2)c2nn[nH]c2n1,1.42,0.5,CHEMBL,CHEMBL
Nc1cc(Cc2ccn(Cc3cccc(C4CCNCC4)c3)n2)c2nn[nH]c2n1,Nc1cc(Cc2ccn(Cc3cccc(C4CCNCC4)c3)n2)c2nn[nH]c2n1,2.24,0.2,CHEMBL,CHEMBL
Nc1cc(F)c(S(=O)(=O)N2CCC(O)CC2)cc1C(=O)Nc1cc(F)c(F)c(F)c1,Nc1cc(F)c(S(=O)(=O)N2CCC(O)CC2)cc1C(=O)Nc1cc(F)c(F)c(F)c1,2.22,0.0073,CHEMBL,CHEMBL
Nc1cc(F)c(S(=O)(=O)N2CCC(O)CC2)cc1C(=O)Nc1ccc(F)c(C(F)F)c1,Nc1cc(F)c(S(=O)(=O)N2CCC(O)CC2)cc1C(=O)Nc1ccc(F)c(C(F)F)c1,2.88,0.029,CHEMBL,CHEMBL
Nc1cc(F)c(S(=O)(=O)N2CCC(O)CC2)cc1C(=O)Nc1ccc(F)c(F)c1,Nc1cc(F)c(S(=O)(=O)N2CCC(O)CC2)cc1C(=O)Nc1ccc(F)c(F)c1,2.08,0.035,CHEMBL,CHEMBL
NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],1.24,1,HTTK,HTTK
Nc1cc(SCc2ccccc2F)c2nn[nH]c2n1,Nc1cc(SCc2ccccc2F)c2nn[nH]c2n1,2.37,0.02,CHEMBL,CHEMBL
Nc1ccc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cn1,Nc1ccc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cn1,4.36,0.016,CHEMBL,CHEMBL
Nc1ccc(C[C@@H](N)C(=O)N2CC(CNc3ccc(F)cc3)C3(C2)CN(c2cc(F)cc(F)c2)C3)cc1,Nc1ccc(CC(N)C(=O)N2CC(CNc3ccc(F)cc3)C3(C2)CN(c2cc(F)cc(F)c2)C3)cc1,3.63,0.025,CHEMBL,CHEMBL
NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](N)C(C2CCCCC2)C2CCCCC2)CC1,NC1CCC(CNC(=O)C2CCCN2C(=O)C(N)C(C2CCCCC2)C2CCCCC2)CC1,3.72,0.02,CHEMBL,CHEMBL
N[C@@H]1CC[C@@H](n2cc(-c3ccc4cc[nH]c4c3)c(C(F)(F)F)n2)C1,NC1CCC(n2cc(-c3ccc4cc[nH]c4c3)c(C(F)(F)F)n2)C1,4.1,0.034,CHEMBL,CHEMBL
NC1=CC=C(O)C(=C1)C(O)=O,Nc1ccc(O)c(C(=O)O)c1,0.81,0.39,HTTK,HTTK
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.97,0.295,HTTK,HTTK
N[C@@H]1CCC=C(c2ccc(F)cc2)[C@H]1COc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,NC1CCC=C(c2ccc(F)cc2)C1COc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,5.08,0.008,CHEMBL,CHEMBL
NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.01,0.7,HTTK,
Nc1cccnc1C(=O)Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,Nc1cccnc1C(=O)Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,3.37,0.007,CHEMBL,CHEMBL
Nc1cccnc1Nc1ncnc2ccc(-c3cccc(N4CCOCC4)c3)cc12,Nc1cccnc1Nc1ncnc2ccc(-c3cccc(N4CCOCC4)c3)cc12,3.85,0.053,CHEMBL,CHEMBL
NC1CCN(C1)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,2.39,0.96,HTTK,HTTK
C1C(OC(S1)CO)N2C=CC(=NC2=O)N,Nc1ccn(C2CSC(CO)O2)c(=O)n1,-1.38,0.94,HTTK,HTTK
NC1=NC(=O)N(CC(CO)OCP(O)(O)=O)C=C1,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,-1.29,1,HTTK,HTTK
N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CC(F)(F)CCC1=O,NC1CN(c2ncnc(N3CCC(F)(F)C3)n2)CC1N1CC(F)(F)CCC1=O,0.49,0.83,CHEMBL,CHEMBL
Nc1cncc(-c2cn3ccnc3c(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)n1,Nc1cncc(-c2cn3ccnc3c(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)n1,2.03,0.204,CHEMBL,CHEMBL
NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,-0.86,0.84,HTTK,HTTK
NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-1.03,0.85,HTTK,HTTK
NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,Nc1nc(=O)n(C2CSC(CO)O2)cc1F,-0.43,0.96,HTTK,
Nc1nc(/C(=N/OC2(C(=O)O)CC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CN2CCOC2=O)cs1,Nc1nc(C(=NOC2(C(=O)O)CC2)C(=O)NC2C(=O)N(S(=O)(=O)O)C2CN2CCOC2=O)cs1,-1.99,0.87,CHEMBL,CHEMBL
Nc1nc(C(=O)NCc2cccc3cccnc23)c2ccccc2n1,Nc1nc(C(=O)NCc2cccc3cccnc23)c2ccccc2n1,2.69,0.036,CHEMBL,CHEMBL
Nc1nc(cc2c1nc(n2Cc1ccccc1)O)C(F)(F)F,Nc1nc(C(F)(F)F)cc2c1nc(O)n2Cc1ccccc1,,0.07,,Watanabe
Nc1nc(-c2ccccc2)c2ccccc2n1,Nc1nc(-c2ccccc2)c2ccccc2n1,2.88,0.051,CHEMBL,CHEMBL
C1=CC=C(C=C1)[C@H](CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,2.89,0.29,,HTTK
NC1=C2N=CN(C3CC(O)C(CO)O3)C2=NC(Cl)=N1,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,0.02,0.9848,HTTK,HTTK
NC1=C2N=CN(C3OC(CO)C(O)C3F)C2=NC(Cl)=N1,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,-0.33,0.53,HTTK,HTTK
NC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC(F)=N1,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,-0.8,0.76,HTTK,HTTK
NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0.98,0.333,HTTK,HTTK
Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c([C@H]4C[C@H](O)C4)c(Cl)c32)c(F)cc1F,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(C4CC(O)C4)c(Cl)c32)c(F)cc1F,2.98,0.1145,CHEMBL,CHEMBL
Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(N)C4)c(Cl)c32)c(F)cc1F,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(N)C4)c(Cl)c32)c(F)cc1F,1.88,0.297,CHEMBL,CHEMBL
NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F,0.13,0.16,HTTK,HTTK
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,1.51,0.5,HTTK,HTTK
Nc1nc(OC2CCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1nc(OC2CCCC2)nc2c1ncn2C1OC(CO)C(O)C1O,-0.66,0.66,CHEMBL,CHEMBL
Nc1nc(OCc2ccccc2)c2[nH]nnc2n1,Nc1nc(OCc2ccccc2)c2[nH]nnc2n1,0.91,0.007333333,CHEMBL,CHEMBL
NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,-1.66,0.99,HTTK,HTTK
NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,Nc1nc2ccc(OC(F)(F)F)cc2s1,2.01,0.04,HTTK,HTTK
Nc1nc2ccc(OC3CCOC3)nc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,Nc1nc2ccc(OC3CCOC3)nc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,3.59,0.026,CHEMBL,CHEMBL
Nc1nc2ccc(SC(F)(F)F)cc2s1,Nc1nc2ccc(SC(F)(F)F)cc2s1,3.49,0.24,CHEMBL,CHEMBL
Nc1nc2cccnc2n1CC(O)c1cccc(Cl)c1Cl,Nc1nc2cccnc2n1CC(O)c1cccc(Cl)c1Cl,3.05,0.118,CHEMBL,CHEMBL
Nc1ncc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cn1,Nc1ncc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cn1,3.75,0.024,CHEMBL,CHEMBL
Nc1ncc2ncn(CCC(CO)CO)c2n1,Nc1ncc2ncn(CCC(CO)CO)c2n1,-0.6,1,CHEMBL,CHEMBL
Nc1nccc(-c2cc3c4c(n[nH]c4c2)N[C@@H]2CCC[C@H]2O3)n1,Nc1nccc(-c2cc3c4c(n[nH]c4c2)NC2CCCC2O3)n1,2.33,0.12,CHEMBL,CHEMBL
Nc1nccc(-c2cnn3ncccc23)n1,Nc1nccc(-c2cnn3ncccc23)n1,0.77,0.42,CHEMBL,CHEMBL
Nc1nccc(COc2cc(F)c3nc(N[C@@H]4CCCC[C@H]4O)sc3c2)c1Cl,Nc1nccc(COc2cc(F)c3nc(NC4CCCCC4O)sc3c2)c1Cl,4.36,0.014,CHEMBL,CHEMBL
Nc1nccc(N2CC[C@H](NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)C2)n1,Nc1nccc(N2CCC(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)C2)n1,3.13,0.005,CHEMBL,CHEMBL
Nc1ncccc1Nc1ncnc2ccc(-c3cccc(N4CCOCC4)c3)cc12,Nc1ncccc1Nc1ncnc2ccc(-c3cccc(N4CCOCC4)c3)cc12,3.85,0.05,CHEMBL,CHEMBL
NC1=NC(=O)N(C=N1)C1CC(O)C(CO)O1,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,-1.89,1,HTTK,HTTK
Nc1ncn(Cc2c(Cl)cncc2Cl)c2ncnc1-2,Nc1ncn(Cc2c(Cl)cncc2Cl)c2ncnc1-2,2.11,0.12,CHEMBL,CHEMBL
Nc1ncnc2c1C(=O)N(c1ccc(-c3c(F)cccc3F)c(F)c1)CCO2,Nc1ncnc2c1C(=O)N(c1ccc(-c3c(F)cccc3F)c(F)c1)CCO2,3.18,0.04,CHEMBL,CHEMBL
Nc1ncnc2c1C(=O)N(c1ccc(-c3c(F)cccc3F)cc1)CCO2,Nc1ncnc2c1C(=O)N(c1ccc(-c3c(F)cccc3F)cc1)CCO2,3.04,0.095,CHEMBL,CHEMBL
Nc1ncnc2c1C(=O)N(c1ccc(-c3cc(Cl)ccc3Cl)cc1)CCO2,Nc1ncnc2c1C(=O)N(c1ccc(-c3cc(Cl)ccc3Cl)cc1)CCO2,4.07,0.012,CHEMBL,CHEMBL
Nc1ncnc2c1C(=O)N(c1ccc(-c3ccc(C(F)F)cc3Cl)cc1)CCO2,Nc1ncnc2c1C(=O)N(c1ccc(-c3ccc(C(F)F)cc3Cl)cc1)CCO2,4.36,0.022,CHEMBL,CHEMBL
Nc1ncnc2c1C(=O)N(c1ccc(-c3ccc(CC(=O)N4CC(O)C4)cc3Cl)cc1)CCO2,Nc1ncnc2c1C(=O)N(c1ccc(-c3ccc(CC(=O)N4CC(O)C4)cc3Cl)cc1)CCO2,2.16,0.223,CHEMBL,CHEMBL
