SMILES,logP,permeability
O=C(C[C@H]1CC(=O)c2c(F)cc(F)cc21)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,3.1699988159412555
CCNC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1,,31.600008540884364
CNC1(c2ccc(N3CCc4c(C(F)(F)F)nn(-c5ccc(OC)cc5)c4C3=O)cc2)CC1,,4.899999097065019
Cn1cc(-c2ccc(Cc3[nH]nc4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,,38.99999038893393
C[C@H]1Cn2c(nnc2-c2ccc(F)cc2)CN1C(=O)c1cccc(Cl)c1Cl,,42.44151713427727
O=C(CCc1ccc(O)cc1)c1ccc(O)cc1O,,18.19849610260027
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ncc1C=CC(=O)O,,14.999997960289171
CN(C)C(=O)N1CCC(CN(C2Cc3cc(C#N)ccc3N(Cc3cncn3C)C2)S(=O)(=O)c2ccccn2)CC1,,0.5999996540823128
CCCCCCC(N)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,,4.8449990920471135
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,,35.31291751620815
CCCC(=O)c1cnn(-c2ccc(NC(=O)c3cn(CC(=O)N4CCN5CCN(C)C(=O)C5C4)c4ccc(Cl)cc34)cc2)c1C,,3.599999993639722
CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cc2F)C(=O)C1,,32.262818132437715
CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(C(C)C)cc4)nc3c2)ccn1,,10.0
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,,16.999991334382887
CC(=S)NC[C@H]1CN(c2ccc(N3CC[S+]([O-])CC3)c(F)c2)C(=O)O1,,2.500001101372527
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,,22.90000620412427
COc1ccc(-c2cnc(N3CCN(C(=O)NC4C5CC6CC4CC(O)(C6)C5)c4ccccc43)nc2)cc1,,24.79999538449126
CCCCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1C,,13.851844259504425
CCCC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(C)c(F)c3)CC2)nc1C,,0.6999999355046413
CC(C)CCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,,25.00001101372527
CCCCn1c(-c2ccccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12,,34.63913193841163
O=C(NC1CCN(C(=O)CCc2cccnc2)CC1)C(c1ccc(Cl)cc1)C1CCCCC1,,10.0
O=C1CSCCN1c1ccc(CO[C@@H]2COc3nc([N+](=O)[O-])cn3C2)cc1,,38.79767493523077
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,6.400000383387623
CCn1cc(C2(c3cccc(-c4cncc(F)c4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,,9.80000280504076
O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(Cl)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,,0.8000000239617253
C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C5[C@@H]7CC(C)(C)C[C@@H](O)[C@]7(C)CC[C@]56C)[C@@]4(C)CO)OC(C(=O)O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,,0.9000003949040396
CN(C)Cc1ccccc1-c1ccc(N2CCc3c(C(F)(F)F)nn(-c4ccc5onc(N)c5c4)c3C2=O)cc1,,4.699998290796298
O=c1cc([C@H]2CCN[C@@H](CCc3ccccc3)C2)o[nH]1,,2.5999997128120995
CC(=O)NCc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,,33.00001976546479
CSc1ccc(/C=C/C(=O)NC2(C(=O)NC(Cc3ccccc3)C(=O)NCC3CCN(CC4CCOCC4)CC3)CCCC2)cc1,,4.699998290796298
CCCC(=O)c1cnn(-c2ccc(NC(=O)c3cn(CC(=O)N4CCN(C)CC4)c4cc(C)c(Cl)cc34)cc2)c1C,,3.599999993639722
O=C(NCc1cc(Cl)ccc1-n1cnnn1)C1C[C@@H]2C[C@@H]2N1C(=O)C(O)Cn1cccn1,,0.4499999857264952
CC(C)(O)CCn1c(Cn2c(=O)n(C3CC3)c3ccncc32)nc2ccccc21,,18.19999631280556
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC)cc3)ccc2NC1=O,,1.4999997960289175
N#Cc1cc(F)ccc1Cn1ccc2c3c(ncc21)C(=O)N(O)CC3,,8.029999162808178
O=C(Cc1nc(=O)cc(N2CCOCC2)[nH]1)Nc1ccc(F)c(Br)c1,,0.8000000239617253
O=C(O)CC1CCC(c2ccc(-c3ccc4c(c3)CCN4C(=O)Nc3ccccc3)cc2)CC1,,16.999991334382887
COc1cnc(-c2cccs2)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,,6.599997940162178
O=c1cc([C@H]2CCN[C@@H](CC3CCCCC3)C2)o[nH]1,,6.200001577526174
COc1nn(-c2ccccn2)c2cc(-c3ccc([C@H]4CC4C(=O)O)cc3)cc(F)c12,,29.00000681779469
CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccncc4F)cc23)CC[C@]1(C)N,,2.2999992796583264
CC(C)n1c(=O)c(C(=O)NC2C[C@H]3CC[C@@H](C2)N3CCCCCCCN2CCC(CNS(C)(=O)=O)CC2)cc2ccccc21,,2.0000009410023614
COc1ccc(-n2nc(S(C)(=O)=O)c3c2C(=O)N(c2ccc(C4(CN5CCCC5=O)CC4)cc2)CC3)cc1,,2.0000009410023614
CN(C)C(=O)c1cc(CN2CCOc3c(F)cccc32)c2oc(N3CCOCC3)cc(=O)c2c1,,6.50000064891788
O=C1CC(c2ccc(C[C@H](Nc3nc4cc(Cl)ccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,,0.8000000239617253
C=C[C@@H]1C[C@]1(NC(=O)C1C[C@@H](n2cc(-c3ccccc3)nn2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,1.1000002908762927
Nc1ncnc2c1c(Oc1cccc(Cl)c1)nn2CC1CCNCC1(F)F,,21.985452064325145
NCC1(c2cccc(Cl)c2)CCC(n2nc(-c3cccnc3)ccc2=O)CC1,,10.573551867089083
COc1ccc2c(O[C@@H]3CC4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)N4C3)nc(-c3ccc(F)cc3)nc2c1C,,31.999986860906454
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CCOCC5)c(OC)c4)C3)o2)cc1,,50.99999106367999
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(F)c2F)n1,,6.999999355046413
O=C1C(CCC(O)=NO)=CCCN1c1cccc2cc(Br)ccc12,,21.09000584003409
CC(C)C(C(=O)N(C)C(Cc1ccc(O)c(C(C)(C)C)c1)C(N)=O)N(C)C(=O)C(N)Cc1ccccc1,,2.3100011707477246
COCCCn1c(=O)nc(-c2ccc(N3CCN(C(C)C)CC3)nc2)c2oc3ccc(Cl)cc3c21,,2.5999997128120995
CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccn3)C(C)=C(C(OC(=O)N(C)C)C(=O)[C@]12C)C4(C)C,,4.679997272849167
Nc1ccc(S(N)(=O)=O)cc1,,5.495406207847575
COC(=O)N1CCC(CN(C2Cc3cc(C#N)ccc3N(Cc3cncn3C)C2)S(=O)(=O)c2ccccn2)CC1,,1.1000002908762927
Cc1cc(CC(OC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)c2cc(CN3CCCC3)ccn2)cc2c[nH]nc12,,4.899999097065019
Cc1ccc(-c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)c(Cl)c1,,16.599996634853007
CNCC(=O)N[C@H](c1cccc(F)c1N1CCN(C(=O)C(C)Cc2ccc(Cl)cc2OC)CC1)C(C)C,,2.0000009410023614
CC1(C)CC(NC(=O)c2ccc(Oc3cccc(-c4ccnnc4)c3C#N)c(Cl)c2)CC(C)(C)O1,,23.30493521594939
COc1cc(Nc2cc(-c3cccc(CC#N)c3)ccn2)ccc1N1CCN(C)CC1,,19.78761263648397
c1cncc(C2CCCN2c2ccnc3[nH]ncc23)c1,,46.90414243372332
O=C(Nc1cccc(OC(F)(F)Cl)c1)c1ccnn1CCc1ccncc1,,4.733333445990982
CC1CC(c2cccnc2)=Cc2ccccc21,,16.300007341139096
C=C[C@@H]1C[C@]1(NC(=O)C1C[C@@H](Oc2cc(OCC)nc3c(Cl)cccc23)CN1C(=O)C(CC(=O)Nc1ccccc1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,3.8999990388933927
NC(=O)n1cc(NC(=O)N2C(C(=O)Nc3cccc(OC(F)(F)F)c3F)C[C@H]3C[C@H]32)c2ccccc21,,5.757606765509403
C=C(CCC(C(=O)O)[C@H]1[C@H](O)C[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@H](O)CC[C@]4(C)C3=CC[C@]12C)C(C)C,,9.990002571118476
Cn1cncc1CN1CC(N(CC2CCN(C(=O)c3ccco3)CC2)S(=O)(=O)c2ccccn2)Cc2cc(C#N)ccc21,,0.4999997647495203
CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,,14.000005297108746
O=C(O)CN1C(=O)[C@@]2(CC(=O)N(Cc3ccccc3F)C2=O)c2cc(Cl)ccc21,,2.4000008747341526
CC(C)n1c(=O)c(C(=O)NC2C[C@H]3CC[C@@H](C2)N3CCCCCCCN(C)CCCN(C)S(C)(=O)=O)cc2ccccc21,,3.0000010035611906
CC(C)(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccn21,,0.6999999355046413
COc1ccccc1N1CCN(c2ncnc3c2cnn3-c2ccccc2F)CC1,,17.500006097223046
Cn1cncc1CN1CC(N(CC2CCN(C(=O)c3ccc(Cl)cc3)CC2)S(=O)(=O)c2ccccn2)Cc2cc(C#N)ccc21,,0.4999997647495203
CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)NS(=O)(=O)c3ccccc3)CC2)nc1C,,0.300000100356119
COc1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1F,,25.999997128120995
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(N(O)O)c1,,23.98662248418335
O=C(N1CCC(c2cn[nH]c2)C1)N1CCCc2ccccc21,,27.6999892167999
C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)O)cc1,,20.099997342467372
CC(C)CC1NC(=O)C(Cc2ccccc2)NC(=O)C([C@@H](C)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(Cc2ccc(O)cc2)NC1=O,,0.1100000290876292
CC(C)(C)C(=O)OCn1nnc(-c2ccccc2-c2ccc(CN3CCC(COC(=O)c4c5n(c6ccccc46)CCCO5)CC3)cc2)n1,,5.099999106367999
C[C@@H]1CN(C(=O)c2ccccc2)[C@@H](C)CN1C(=O)C(=O)c1c[nH]c2cccc(F)c12,,6.928201336875807
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)ncn1,,10.954455614072977
C[C@@H]1O[C@H](c2ccc([N+](=O)[O-])cc2)OC[C@H]1NC(=O)Cc1ccccc1,,10.31999531183394
NCCc1ccc(O)c(O)c1,,9.331268798781757
O=C(N1CCC(c2cn[nH]c2)C1)N1CCOc2ccccc21,,28.09999224182573
CC(=O)c1nc([C@@H](O)[C@@H](O)[C@H](O)CO)c[nH]1,,11.38815055434174
COc1ccc(-c2cc(Cl)c3c(N)ncnn23)cc1N1CCN(C(C)=O)C(C)(C)C1=O,,16.999991334382887
OC[C@H](Cc1cccc(O)c1)[C@H](CO)Cc1cccc(O)c1,,8.2782797779074
CCC(=O)N1CCC(CC(O)=NO)(NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)CC1,,0.0999999999999999
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,,21.59999248238304
Cn1cncc1CN1CC(N(CC2CCN(S(C)(=O)=O)CC2)S(=O)(=O)c2ccccn2)Cc2cc(C#N)ccc21,,0.0999999999999999
CC(C)C(NC(=O)c1ccc(C(=O)N2CCOCC2)cc1)C(=O)N1CCCC1C(=O)NC(C(=O)C(F)(F)C(F)(F)F)C(C)C,,7.985782911579582
O=C(O)CC1CCC(c2ccc(C(=O)Nc3nnc(Cc4cccc(Cl)c4)s3)cc2)CC1,,8.000000239617254
CC(C)(C)CCC1(C(=O)c2ccc3[nH]ncc3c2)CCCN1,,15.491943342323651
CSc1nc2ccc(Cl)cc2n1C,,8.623153162307446
CCCCCCCCCCCCCCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CSCNC(C)=O)C(=O)NC(C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)NC(CSCNC(C)=O)C(=O)NC(C(N)=O)[C@@H](C)O)c1ccc(O)cc1,,0.1799944026901097
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,,1.3182564350166155
Cn1cncc1CN1CC(N(CC2CCN(C(=O)N3CCCC3)CC2)S(=O)(=O)c2ccccn2)Cc2cc(C#N)ccc21,,0.5999996540823128
N#Cc1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,,7.849838105874856
O=C(NC1(C(=O)NC(Cc2ccccc2)C(=O)NCCCN2CCOCC2)CCCC1)c1ccc(-c2ccccc2)s1,,11.699998336543365
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,,3.30000197654648
C[C@@H](NC(=O)c1cc(Cl)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,,27.68736971712843
Cc1cc(COc2ccc(C(=O)NC3(CC(O)=NO)CCN(C(=O)C(C)C)CC3)cc2)c2ccccc2n1,,0.2000000941002361
c1cnc2ccc(Cn3nnc4ncc(-c5cnn([C@@H]6CCNC6)c5)nc43)cc2c1,,3.099999330209736
Cc1c(C(=O)O)sc2ccc(NC(=O)C3(NC(=O)c4ccc5c(C6CCCCC6)c(-c6ccccn6)n(C)c5c4)CCC3)cc12,,0.5999996540823128
CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,,0.5200000674885544
c1ccc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)nc1,,10.3000041574028
CN(C)Cc1ccccc1-c1ccc(-c2ccc3c(C(N)=O)nn(-c4ccc5onc(N)c5c4)c3c2F)c(F)c1,,3.7599987452571058
CC1(c2cccc(-c3cncnc3)c2)N=C(N)c2c(F)cccc2O1,,38.99999038893393
Cn1c(-c2cccc3cccnc23)c(C2CCCCC2)c2ccc(C(=O)NC(C)(C)C(=O)Nc3ccc(C=CC(=O)O)cc3)cc21,,3.399999866579783
CC(C)(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)C(=O)C2CCCC21,,4.150000986991275
Cn1nc(-c2cnc(N)c(-c3nnc(C(C)(C)C)o3)n2)nc1C1(c2ccccc2)CC1,,24.000008747341525
O=C1N(CC2CCC2)c2ccccc2C1(O)c1ccc2c(c1)OCO2,,21.397887506230624
Cn1cncc1CN1CC(N(CC2CCN(C(=O)N3CCCCC3)CC2)S(=O)(=O)c2ccccn2)Cc2cc(C#N)ccc21,,0.5999996540823128
Cc1[nH]n(-c2nccs2)c(=O)c1-c1ccccc1,,23.849935013030358
Cc1cc(C#N)nc(C)c1C(=O)N1CCC(C)(N2CCC(N3C(=O)N(C4CCOCC4)C[C@H]3c3ccccc3)CC2)CC1,,1.0
C=CC(=O)N[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(N4CCCCC4)cc3)n2)C1,,1.9000008708139904
O=C(N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1cc2cc(Cl)ccc2cc1O,,3.849999738408546
CC(C)CC1NC(=O)C(C(C)C)NC(=O)C(Cc2c[nH]c3ccccc23)N(C)C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C1=O,,1.699999133438289
COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCC(C(O)CN(C)C)CC2)c(C)c1,,1.3000007414351715
CCCCCn1cc(C(=O)c2cccc3ccccc23)c2cnccc21,,10.0
NS(=O)(=O)c1ccc(Cn2cnc3ccccc32)cc1,,23.40000768281284
CC(C)(O)Cn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,,34.49998450354146
COc1ccc(-c2c(C)nn3c(NCCN4CCOCC4)cc(C)nc23)cc1OC,,11.000002908762928
NC(=O)n1cc(NC(=O)N2C(C(=O)Nc3cccc(OC(F)(F)F)c3)C[C@H]3C[C@H]32)c2ccccc21,,5.064581916821085
O=C(Cc1nc(=O)cc(N2CCOCC2)[nH]1)N1CCc2cc(F)ccc21,,3.0000010035611906
O=C(O)COc1ccc(Br)cc1C(=O)c1cnn(-c2ccccc2)c1,,10.634853214139714
CC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(F)cc3F)cc(C#N)c2NC1=O,,3.0000010035611906
CN1CC[C@]23C(=O)C[C@H]4C(=CCO[C@H]5CC(=O)N(c6ccccc62)[C@H]3[C@H]54)C1,,26.15053028550565
Cc1cccc(Nc2ccccc2C(=O)O)c1C,,17.89999460149778
CC(C)n1cc(C(=O)c2cccc(NC(=O)Nc3ccc(Cl)cc3)c2)c2c(N)ncnc21,,9.499999884308792
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,,47.4000063658385
CCCC(=O)c1cnn(-c2ccc(NC(=O)c3cn(CC(=O)N4CCN(Cc5ccc(F)cc5)CC4)c4ccc(C)cc34)cc2)c1C,,1.699999133438289
C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCC#N)c2cnccc21,,22.999992796583264
COc1ccc2c(O[C@@H]3CC4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCCNC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1Cl,,29.00000681779469
O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(-c3c[nH]cn3)ccc(F)c12,,3.6999980910471977
COC1(C)CN(C(=O)c2ccc3c(N)ncc(-c4ccc(-c5cnn(C)c5)cc4)c3c2)C1,,25.20000343615967
CCOc1ncc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(=O)c2nn(CCN3CCOCC3)c(CC)c2[nH]1,,2.500001101372527
Cc1nc(-n2cnn(Cc3cc(F)cc(F)c3)c2=O)sc1C(=O)NCc1cccnc1,,24.819338372094155
Cc1cc(-c2nnn(Cc3ccc(C(=O)O)cc3)n2)cc(C(=O)NCc2ccccc2)n1,,5.699996644367288
Cc1ccc(C(=O)NCCO)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O,,7.99000222033986
C[C@@H]1[C@@H](C)OCCN1c1nc(-c2ccncc2F)cc(=O)n1C,,48.5000180241564
Cc1ccnc(C)c1C(=O)N1C[C@H]2CN(CC[C@H](NC(=O)C3CCCC3)c3ccccc3)C[C@H]2C1,,3.999998237804733
O=C(Nc1cnc(-c2ccncc2)c(-c2ccncc2)n1)C1CC1,,27.34958243212243
CS(=O)(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NCC1CCN(C(=N)N)CC1,,0.2743547603035282
O=C(O[C@H]1C[C@H](n2cc(F)c(=O)[nH]c2=O)O[C@@H]1CO)C(Cl)Cl,,2.0109996731019173
CC(C)OC(=O)C(Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)C1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,,6.795322925751261
CS(=O)(=O)Nc1cccc(-n2c3nc(=O)[nH]c(=O)c-3cc3ccccc32)c1,,0.4100000408591647
CO/N=C1/C(=O)N(Cc2nc3ccccc3n2CCCCF)c2cnccc21,,12.80000678919072
CCOC(=O)/C=C/[C@H](CC1CCNC1=O)NC(=O)C(CC)n1cccc(NC(=O)c2cc(C)on2)c1=O,,4.999997647495205
O=C(O)CC1CCC(c2ccc(-c3ccc4c(ccn4C(=O)Nc4ccccc4)c3)cc2)CC1,,16.999991334382887
CCCCCCCCCCCCCCCC(=O)OCC/C=C/c1ccc(OC)c(OC)c1,,8.040004651367026
CC(C)S(=O)(=O)n1c(N)nc2ccc(C(=CC(N)=O)c3c(F)c(F)c(F)c(F)c3F)cc21,,63.09576350468559
C=C[C@@H]1C[C@]1(NC(=O)C1C[C@@](OC)(c2ccc(-c3ccccn3)cc2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,,2.2999992796583264
Cc1ncc(CNC2CCN(CCn3c(=O)ccc4ncc(F)cc43)CC2)cc1C#N,,13.281572582746792
O=C(COc1ccc(-c2ccccc2)cc1)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,5.090002551048249
COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cc1,,11.999998727657218
COc1cccc([C@@H](CO)NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,,2.1999990840114525
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,,2.900000681779469
C[C@@H]1CN(C(=O)c2ccccc2)CCN1C(=O)C(=O)c1c[nH]c2cccnc12,,7.600000135083421
CCS(=O)(=O)CCCn1c(Cn2c(=O)n(C3CC3)c3ccncc32)nc2ccccc21,,3.399999866579783
Cc1nc(N)nc2c1ncn2COCCOC(=O)CCC(N)C(=O)O,,1.5488169755407275
CNC(=O)C=C(c1ccccc1)c1ccc2nc(N)n(S(=O)(=O)C(C)C)c2c1,,63.09576350468559
COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCC(C3CCN(C)CC3)CC2)c(C)c1,,2.5999997128120995
NC(=O)c1cnc2ccc(-c3cccnc3)cc2c1NC1CCOCC1,,14.999997960289171
CCCCCCCCCCC(N)C(=O)NC(CCCCCCCCCC)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,,3.087001212055175
COCCCn1c(CN2C(=O)/C(=N/OCc3ccncc3)c3ccccc32)nc2ccccc21,,21.4000013132272
Cn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,,11.799994367389411
O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(-c3cnco3)ncc(F)c12,,13.500004087820072
CC(C)Oc1ccc(-c2cc(C(=O)O)ncn2)cc1Cl,,18.702932221454528
COC1=C2C(C)[C@@H](OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccn3)[C@@H]3OC(=O)O[C@]3([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC)[C@@]3(C)C1=O)C2(C)C,,3.659998437596087
Oc1cccc(-c2ccc3c(-c4ccccc4)c(O)ccc3c2)c1,,9.300001101668226
CC(C)CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)NC1=O,,11.329994525024333
CNC(=O)c1nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc2c1N[C@@H](C)c1nn(C)cc1C,,1.6000008007253654
COc1ccc2c(c1)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,,26.753672103748325
COc1ccc(-n2nc(C(F)(F)F)c3c2C(=O)N(c2ccc(C4(N(C)CCO)CC4)cc2)CC3)cc1,,11.30000667436115
O=c1ccc(-c2ccc(OC3CCN(C4CCC4)CC3)cc2)n[nH]1,,16.50000211946189
COCc1ccc(-c2ccc3ncc(C(N)=O)c(N[C@@H](C)C4CCOCC4)c3c2)cn1,,3.199998686090645
CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccn21,,0.2000000941002361
OC[C@@H](O)[C@@H](O)[C@H](O)c1c[nH]c(-c2ncn(Cc3ccccc3)n2)n1,,5.099999106367999
CC1=NC(c2ccc(F)cc2)(c2cccc(-c3cccnc3)c2)N=C1N,,41.00000408591647
CN1CCN(Cc2ccc(OC3CN(C(=O)c4nnc(-c5ccccc5)o4)C3)cc2F)CC1,,46.00000723621415
CCCCc1ccc(C(=O)NC2(C(=O)NC(Cc3ccccc3)C(=O)NCC3CCN(CC4CCOCC4)CC3)CCCC2)cc1,,9.319984712829806
CC(=O)Nc1ccccc1O,,27.900006213910203
CN1CC(=O)NCC(=O)N(C(Cc2ccccc2)C(N)=O)CCNC(=O)CCNC(Cc2ccccc2)C(=O)N(C)CC(=O)N(C)CC1=O,,2.9499992122038194
COC1CCC(N2CC(=O)Nc3ncc(-c4ccc(-c5nc[nH]n5)nc4C)nc32)CC1,,17.290470052181803
COc1ccc2c(O[C@@H]3CC4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCC(NC(=O)c5cc[nH]n5)C(=O)N4C3)cc(OC(C)C)nc2c1C,,0.8000000239617253
CC(=O)N1CCN(c2cc(-c3cc(C(F)(F)F)c4c(N)ncnn34)ccc2C#N)C(=O)C1(C)C,,11.000002908762928
Cc1ccc(-c2nn(Cc3ccccc3)c(=O)c(C3=NS(=O)(=O)c4ccccc4N3)c2O)s1,,1.3000007414351715
Cc1ccc(C(=O)N2CC[C@H](O)C2)c(OC[C@@H](O)CN2CCC3(CC2)Cc2cc(Cl)ccc2O3)c1,,6.50000064891788
CC(C)n1cc(Nc2nc(N)cc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,,3.6999980910471977
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(C4(CN5CCOCC5)CC4)cc2)CC3)cc1,,9.000003949040394
COc1cnc(-c2cnc(N)cn2)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,,3.30000197654648
C=C(c1ccccc1)[C@@H]1OC[C@@H](N)[C@H](C)O1,,10.264994003383167
